,日期,買賣超金額,台指期
0,2021/07/07,1612791.32,17830
1,2021/07/06,1389885.64,17878
2,2021/07/05,-677766.561,17898
3,2021/07/02,3856356.977,17653
4,2021/07/01,3822896.109,17646
5,2021/06/30,-7293938.587,17715
6,2021/06/29,2959478.652,17529
7,2021/06/28,-3158644.329,17535
8,2021/06/25,-1574065.556,17419
9,2021/06/24,-1457772.086,17336
10,2021/06/23,-2456962.256,17272
11,2021/06/22,4822788.391,17028
12,2021/06/21,6628989.138,16962
13,2021/06/18,-1900501.11,17252
14,2021/06/17,-648001.261,17297
15,2021/06/16,5941713.297,17345
16,2021/06/15,-6210338.011,17398
17,2021/06/11,-693502.655,17219
18,2021/06/10,-3286872.914,17159
19,2021/06/09,2930578.401,16963
20,2021/06/08,1475210.633,17090
21,2021/06/07,1626672.849,17090
22,2021/06/04,2492338.372,17100
23,2021/06/03,-2151255.333,17230
24,2021/06/02,2916472.63,17098
25,2021/06/01,-701580.415,17130
26,2021/05/31,-3235203.306,17013
27,2021/05/28,-5771126.53,16863
28,2021/05/27,2602760.008,16534
29,2021/05/26,-818333.487,16616
30,2021/05/25,147885.738,16585
31,2021/05/24,-514560.277,16294
32,2021/05/21,-3264766.044,16257
33,2021/05/20,6912482.595,15981
34,2021/05/19,4421360.749,16138
35,2021/05/18,-5405328.815,16147
36,2021/05/17,-5347148.68,15263
37,2021/05/14,3064748.739,15772
38,2021/05/13,2113785.41,15566
39,2021/05/12,4030465.39,15692
40,2021/05/11,10396127.19,16556
41,2021/05/10,1211479.51,17228
42,2021/05/07,-4189626.133,17287
43,2021/05/06,227879.897,16944
44,2021/05/05,2153794.936,16769
45,2021/05/04,3517242.779,16933
46,2021/05/03,6684037.315,17253
47,2021/04/29,872543.827,17571
48,2021/04/28,-969388.658,17533
49,2021/04/27,-80026.287,17571
50,2021/04/26,-35252.21,17530
51,2021/04/23,-3364613.954,17257
52,2021/04/22,3052364.874,17109
53,2021/04/21,4131675.843,17231
54,2021/04/20,1213439.683,17319
55,2021/04/19,-68306.403,17271
56,2021/04/16,-2912611.78,17158
57,2021/04/15,-728128.598,17071
58,2021/04/14,1192946.446,16856
59,2021/04/13,2421244.877,16795
60,2021/04/12,802119.844,16834
61,2021/04/09,1646389.285,16841
62,2021/04/08,-220357.075,16930
63,2021/04/07,-2630580.049,16768
64,2021/04/06,-3140151.168,16731
65,2021/04/01,-2097478.237,16551
66,2021/03/31,-244596.298,16422
67,2021/03/30,-1645344.606,16519
68,2021/03/29,-2715226.301,16411
69,2021/03/26,-3907532.799,16288
70,2021/03/25,2805370.326,16032
71,2021/03/24,2597249.379,15983
72,2021/03/23,284121.377,16120
73,2021/03/22,554870.582,16140
74,2021/03/19,5140857.103,16012
75,2021/03/18,-2384388.042,16239
76,2021/03/17,3486540.563,16176
77,2021/03/16,-909068.571,16305
78,2021/03/15,450431.328,16200
79,2021/03/12,-740398.87,16222
80,2021/03/11,-3985624.865,16174
81,2021/03/10,544069.931,15883
82,2021/03/09,-124125.466,15822
83,2021/03/08,3723969.04,15816
84,2021/03/05,5418640.142,15855
85,2021/03/04,9154573.254,15925
86,2021/03/03,-2390802.47,16181
87,2021/03/02,2540521.718,15907
88,2021/02/26,16244902.66,15935
89,2021/02/25,-3569842.489,16388
